algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
fnn,43,307,11,18.974706816895008,0.4984518391361754,0.7459747100834093,recovery_ok,0.331,0.53,window
rl,43,307,11,18.79928492974968,0.4983948325555396,0.7434520759740195,recovery_ok,0.331,0.53,window
llm,43,307,11,18.974706816895008,0.4984518391361754,0.7459747100834093,recovery_ok,0.331,0.53,window
zn,44,307,12,36.23959230487012,0.7861523905409022,1.0071629599147762,comfort_held+recovery_ok,0.111,1.0,tuning
zn,45,307,13,28.88431583480585,0.5992846047789882,1.7492363444608543,comfort_held+recovery_ok,0.117,1.0,tuning
zn,47,307,15,53.8628428109016,1.079428338126537,3.733661995186491,comfort_held+recovery_ok,0.108,1.0,tuning
zn,48,307,16,85.85736606546482,1.462230752649052,2.682967907844475,comfort_held+recovery_ok,0.171,1.0,tuning
imc,48,307,16,37.417827767048614,0.7406875797220609,1.4548024050604056,comfort_held+recovery_ok,0.171,1.0,tuning
bo,48,307,16,50.426223363751596,0.9342609171967646,1.8281786383446779,comfort_held+recovery_ok,0.171,1.0,tuning
safe-bo,48,307,16,37.417827767048614,0.7406875797220609,1.4548024050604056,comfort_held+recovery_ok,0.171,1.0,tuning
fnn,48,307,16,37.417827767048614,0.7406875797220609,1.4548024050604056,comfort_held+recovery_ok,0.171,1.0,tuning
rl,48,307,16,35.8620769683329,0.7207162863636841,1.4548024050604056,comfort_held+recovery_ok,0.171,1.0,tuning
llm,48,307,16,37.417827767048614,0.7406875797220609,1.4548024050604056,comfort_held+recovery_ok,0.171,1.0,tuning
zn,49,401,1,61.25118357265399,1.260808932453782,1.0293686208249184,comfort_held+recovery_ok,0.078,1.0,tuning
imc,49,401,1,41.19058705145641,1.0884741799850777,0.2732230197722494,comfort_held+recovery_ok,0.078,1.0,tuning
bo,49,401,1,52.526209800826116,1.191670586123266,0.4886128754112349,comfort_held+recovery_ok,0.078,1.0,tuning
safe-bo,49,401,1,41.19058705145641,1.0884741799850777,0.2732230197722494,comfort_held+recovery_ok,0.078,1.0,tuning
fnn,49,401,1,41.19058705145641,1.0884741799850777,0.2732230197722494,comfort_held+recovery_ok,0.078,1.0,tuning
rl,49,401,1,37.35653682116723,0.9698343902709572,0.3338044239580569,comfort_held+recovery_ok,0.078,1.0,tuning
llm,49,401,1,41.19058705145641,1.0884741799850777,0.2732230197722494,comfort_held+recovery_ok,0.078,1.0,tuning
zn,50,401,2,58.46875036297804,1.1107813238424453,3.246260034249648,comfort_held+recovery_ok,0.111,1.0,tuning
zn,51,401,3,87.50143523044817,1.4793151409406529,2.7116754832061574,comfort_held+recovery_ok,0.157,1.0,tuning
imc,51,401,3,60.14547550850531,1.0669026260134704,1.9529286410594402,comfort_held+recovery_ok,0.157,1.0,tuning
bo,51,401,3,72.2849017237908,1.2416229997519868,2.224512638915023,comfort_held+recovery_ok,0.157,1.0,tuning
safe-bo,51,401,3,60.14547550850531,1.0669026260134704,1.9529286410594402,comfort_held+recovery_ok,0.157,1.0,tuning
fnn,51,401,3,60.14547550850531,1.0669026260134704,1.9529286410594402,comfort_held+recovery_ok,0.157,1.0,tuning
rl,51,401,3,57.83895201587746,1.0281658557106028,2.0241553855277523,comfort_held+recovery_ok,0.157,1.0,tuning
llm,51,401,3,60.14547550850531,1.0669026260134704,1.9529286410594402,comfort_held+recovery_ok,0.157,1.0,tuning
zn,52,401,4,54.743519249431785,1.1653843928840724,4.831152334910634,comfort_held+recovery_ok,0.196,1.0,tuning
zn,53,401,5,64.65778372071135,1.5790015435976157,1.0815039348254771,comfort_held+recovery_ok,0.288,1.0,tuning
zn,54,401,6,53.704272347496634,1.112051938788533,4.493344467631143,comfort_held+recovery_ok,0.307,1.0,tuning
zn,55,401,7,59.82897476619944,1.0781372336315511,2.3177930949123784,comfort_held+recovery_ok,0.517,1.0,tuning
imc,55,401,7,25.475912935683564,0.6444683511005429,0.7996027514424924,comfort_held+recovery_ok,0.517,1.0,tuning
bo,55,401,7,23.69499324748356,0.5495152102672951,1.2016299747983332,comfort_held+recovery_ok,0.517,1.0,tuning
safe-bo,55,401,7,25.475912935683564,0.6444683511005429,0.7996027514424924,comfort_held+recovery_ok,0.517,1.0,tuning
fnn,55,401,7,25.475912935683564,0.6444683511005429,0.7996027514424924,comfort_held+recovery_ok,0.517,1.0,tuning
rl,55,401,7,25.88042955682863,0.696595638294382,0.5284393409498414,comfort_held+recovery_ok,0.517,1.0,tuning
llm,55,401,7,25.475912935683564,0.6444683511005429,0.7996027514424924,comfort_held+recovery_ok,0.517,1.0,tuning
zn,56,401,8,103.0332920048278,2.027780662234748,0.7208194700255461,comfort_held+recovery_ok,1.159,1.0,capacity
imc,56,401,8,84.97863368919982,1.7805504614589491,0.17935109796179205,comfort_held+recovery_ok,1.159,1.0,capacity
bo,56,401,8,84.50314147527577,1.7308413371732163,0.23841026097159457,comfort_held+recovery_ok,1.159,1.0,capacity
safe-bo,56,401,8,84.97863368919982,1.7805504614589491,0.17935109796179205,comfort_held+recovery_ok,1.159,1.0,capacity
fnn,56,401,8,84.97863368919982,1.7805504614589491,0.17935109796179205,comfort_held+recovery_ok,1.159,1.0,capacity
rl,56,401,8,84.58798807456559,1.804137664997327,0.34189119357908027,comfort_held+recovery_ok,1.159,1.0,capacity
llm,56,401,8,84.97863368919982,1.7805504614589491,0.17935109796179205,comfort_held+recovery_ok,1.159,1.0,capacity
zn,57,401,9,68.8939108686803,1.3440806077780831,1.906849351881199,comfort_held+recovery_ok,0.054,1.0,tuning
imc,57,401,9,39.869359891845505,1.0574659720286164,1.2795946451374967,comfort_held+recovery_ok,0.054,1.0,tuning
bo,57,401,9,44.749926549036154,1.0969994267594463,1.4543859341793173,comfort_held+recovery_ok,0.054,1.0,tuning
safe-bo,57,401,9,39.869359891845505,1.0574659720286164,1.2795946451374967,comfort_held+recovery_ok,0.054,1.0,tuning
fnn,57,401,9,39.869359891845505,1.0574659720286164,1.2795946451374967,comfort_held+recovery_ok,0.054,1.0,tuning
rl,57,401,9,36.14161069525447,1.0239619554065227,0.9197857745880782,comfort_held+recovery_ok,0.054,1.0,tuning
llm,57,401,9,39.869359891845505,1.0574659720286164,1.2795946451374967,comfort_held+recovery_ok,0.054,1.0,tuning
zn,58,401,10,45.9329802491372,0.9410545250306601,1.3248064422785717,comfort_held+recovery_ok,0.253,1.0,tuning
bo,58,401,10,33.87467281761705,0.8232319229227978,0.7560965726268911,comfort_held+recovery_ok,0.253,1.0,tuning
zn,59,401,11,41.83210058990112,0.874343621061749,1.3908307032624734,comfort_held+recovery_ok,0.525,0.53,window
